idno,ppltrst,happy,health,cgtsday,alcfreq,height,weight,gndr,yrbrn
943121,8,7,Fair,,2-3 times a month,163.0,78.0,Female,1946.0
924074,,9,Very good,,Several times a week,189.0,66.0,Male,1970.0
926759,4,7,Bad,,Never,168.0,,Female,1953.0
925305,9,9,Good,,Several times a week,180.0,86.0,Male,1947.0
936558,8,3,Bad,40.0,Every day,180.0,63.0,Male,1977.0
938534,6,Extremely happy,Very good,,Less than once a month,190.0,67.0,Male,1998.0
939611,9,Extremely happy,Very good,,Several times a week,170.0,71.0,Male,1945.0
943618,7,9,Good,,Every day,184.0,72.0,Male,1959.0
929189,8,Extremely happy,Very good,,Less than once a month,178.0,86.0,Male,1963.0
936956,7,8,Fair,,Once a month,179.0,90.0,Male,1941.0
940424,9,9,Fair,,Once a week,170.0,102.0,Female,1936.0
921856,7,8,,,2-3 times a month,158.0,79.0,,1969.0
947400,7,9,Very good,,2-3 times a month,174.0,65.0,Male,1997.0
921408,7,,,1.0,Several times a week,203.0,104.0,Male,1977.0
935976,7,8,Good,0.0,Never,165.0,67.0,Female,1926.0
933322,8,7,Good,,Less than once a month,180.0,74.0,Male,1965.0
926822,8,Extremely happy,Very good,,Several times a week,175.0,69.0,Male,1937.0
934247,9,Extremely happy,Bad,20.0,Never,162.0,90.0,Female,1954.0
941501,6,Extremely happy,Good,10.0,Several times a week,176.0,64.0,Male,1937.0
937106,7,8,Fair,17.0,Less than once a month,168.0,68.0,Male,
942256,3,8,Very good,4.0,Never,163.0,62.0,Female,1946.0
943210,6,8,Good,,Several times a week,173.0,90.0,Male,1974.0
937758,7,8,Very good,,Several times a week,174.0,73.0,Male,1961.0
921432,,Extremely happy,Very good,6.0,Once a week,180.0,90.0,Male,1989.0
926814,4,1,Bad,,Once a week,162.0,80.0,Female,1977.0
939132,9,9,Good,,Several times a week,170.0,64.0,Female,1960.0
933039,8,8,Very good,,Once a month,172.0,72.0,Male,1965.0
931396,5,8,Good,,Several times a week,167.0,50.0,Female,1930.0
940416,7,9,Very good,6.0,2-3 times a month,195.0,93.0,Male,1994.0
921181,9,9,Fair,,Once a week,194.0,102.0,Male,1956.0
926050,7,9,Very good,10.0,2-3 times a month,166.0,58.0,Female,1974.0
931192,9,Extremely happy,Very good,,,,64.0,Female,1953.0
923793,8,Extremely happy,Very good,,Once a week,179.0,80.0,Male,1950.0
928604,8,,Very good,2.0,Once a month,151.0,,Female,1940.0
949208,7,9,Fair,,Less than once a month,178.0,73.0,Male,1994.0
945319,8,7,Good,5.0,Several times a week,160.0,49.0,,1991.0
922323,6,8,Fair,,Once a week,155.0,47.0,Female,1940.0
923256,7,9,Fair,,2-3 times a month,176.0,,Female,1958.0
948757,7,8,Very good,,Once a week,188.0,80.0,Male,1965.0
939784,9,9,Very good,,Once a week,167.0,,Female,1956.0
930196,7,7,Good,,2-3 times a month,175.0,56.0,Male,1941.0
946925,8,8,,,Once a week,165.0,73.0,,1955.0
943333,8,9,Fair,,Less than once a month,164.0,70.0,Female,1987.0
938495,8,8,Good,,Several times a week,178.0,99.0,Male,1945.0
936621,8,9,Very good,15.0,Several times a week,163.0,70.0,Female,
921474,3,6,Fair,8.0,Less than once a month,,70.0,Female,1980.0
930439,7,8,Very good,1.0,Once a week,182.0,75.0,Male,1980.0
927098,9,8,Very good,,Several times a week,165.0,55.0,Female,1954.0
926408,7,8,Very good,,Once a week,172.0,76.0,Male,1945.0
937677,8,Extremely happy,Good,,Every day,175.0,67.0,,1925.0
937928,8,9,Good,,Once a week,158.0,59.0,Female,
936003,3,9,Very good,,Once a week,175.0,95.0,Male,1947.0
928311,9,6,Good,,Less than once a month,194.0,94.0,Male,1973.0
937619,7,8,Good,,Several times a week,158.0,58.0,Female,1956.0
949606,4,Extremely happy,Very good,,Less than once a month,170.0,130.0,Female,1993.0
947450,9,8,Very good,,2-3 times a month,160.0,57.0,Female,1981.0
938136,3,9,Very good,,Less than once a month,176.0,80.0,Female,1985.0
930227,,8,Very good,0.0,2-3 times a month,170.0,73.0,Female,1973.0
923832,8,8,Very good,10.0,,173.0,60.0,Male,1994.0
924498,5,7,Very good,10.0,Several times a week,175.0,66.0,Male,1966.0
933233,8,9,Good,,Once a week,182.0,70.0,Male,1994.0
926979,7,9,Very good,,Once a week,183.0,84.0,Male,1992.0
928256,6,8,Very good,,Once a week,173.0,75.0,Male,1974.0
940733,8,8,Good,,Once a month,185.0,89.0,Male,1976.0
923890,9,Extremely happy,Very good,,Once a week,173.0,60.0,Female,1996.0
923769,5,8,Good,,Several times a week,170.0,66.0,Male,1951.0
924600,9,6,Fair,,Several times a week,188.0,91.0,Male,1955.0
945806,Most people can be trusted,9,Very good,,Several times a week,181.0,79.0,Male,1964.0
950249,8,7,Good,7.0,Several times a week,190.0,89.0,,1956.0
938372,8,8,Very good,8.0,Once a week,170.0,55.0,Female,1953.0
935138,3,8,Fair,,Several times a week,176.0,80.0,Male,1956.0
930057,,Extremely happy,Very good,,,173.0,58.0,Female,1968.0
944444,Most people can be trusted,Extremely happy,Very good,,Less than once a month,176.0,91.0,Male,1983.0
947078,,9,Fair,,Several times a week,166.0,58.0,Female,1964.0
942890,8,Extremely happy,Very good,,2-3 times a month,192.0,74.0,Male,1995.0
941103,2,1,Bad,10.0,Never,164.0,58.0,Female,1930.0
927836,8,9,Very good,,Several times a week,172.0,63.0,Male,1967.0
941014,5,,Very good,,2-3 times a month,182.0,83.0,Male,1961.0
932512,8,7,Very good,,2-3 times a month,172.0,75.0,Female,1958.0
927048,7,Extremely happy,Fair,,Less than once a month,160.0,75.0,Female,1985.0
943626,5,7,Very good,,Once a week,179.0,65.0,Male,1988.0
937180,8,8,Good,,Several times a week,170.0,82.0,Female,1971.0
934904,9,Extremely happy,Very good,,Every day,165.0,77.0,Male,1923.0
947159,6,7,Very good,,Less than once a month,171.0,67.0,Male,1994.0
944101,4,Extremely happy,Very good,,2-3 times a month,166.0,72.0,Female,1965.0
930942,8,Extremely happy,Fair,,Several times a week,163.0,55.0,Female,1950.0
942361,8,8,Good,,Less than once a month,180.0,115.0,Female,1974.0
928133,7,6,Bad,,Less than once a month,183.0,82.0,Male,1993.0
949012,8,Extremely happy,Good,,Several times a week,186.0,93.0,Male,1939.0
930285,4,6,Fair,,Several times a week,177.0,76.0,Male,1977.0
934360,2,5,Very good,,Less than once a month,160.0,75.0,Female,1930.0
922608,5,9,Very good,,Every day,182.0,80.0,Male,
937805,7,,Good,15.0,Several times a week,167.0,70.0,Female,1959.0
950508,7,8,Very good,,Once a week,173.0,75.0,Male,1966.0
949258,8,9,Good,8.0,Every day,172.0,76.0,Male,1943.0
944208,,7,Very good,,Several times a week,180.0,80.0,Male,1984.0
929472,5,8,Fair,20.0,Never,163.0,53.0,Female,
949999,8,4,Good,,Several times a week,200.0,88.0,Male,1994.0
924943,7,9,Very good,,2-3 times a month,185.0,82.0,Male,1998.0
934093,4,8,Fair,10.0,Never,162.0,60.0,Female,1996.0
931964,8,Extremely happy,Very good,,Less than once a month,165.0,60.0,Female,1984.0
937538,6,6,Fair,15.0,Once a week,173.0,59.0,Female,1995.0
