idno,ppltrst,happy,health,cgtsday,alcfreq
931639,Most people can be trusted,8,Fair,,Once a week
927828,8,9,Very good,,2-3 times a month
927179,5,5,Good,,2-3 times a month
921018,6,9,Very good,10,2-3 times a month
921026,8,8,Very good,,Several times a week
921084,5,8,Very good,,Every day
921165,8,Extremely happy,Good,,Once a week
921220,8,8,Fair,,Every day
921262,8,8,Very good,,2-3 times a month
921296,5,9,,,Once a week
921377,7,9,Good,,2-3 times a month
921393,7,8,Very good,,Less than once a month
921416,8,Extremely happy,Very good,40,Several times a week
921505,,8,Good,,2-3 times a month
921547,5,8,Good,,Once a month
921571,8,9,Fair,,Less than once a month
921589,,9,Very bad,,Never
921610,6,9,Good,,Less than once a month
921628,7,8,Fair,,2-3 times a month
921636,9,8,Very good,,2-3 times a month
921652,7,7,Very good,,Once a week
921660,8,6,Very good,,2-3 times a month
921733,5,3,,,Several times a week
921864,8,7,Bad,20,Several times a week
921872,4,5,Very bad,15,Never
921903,8,Extremely happy,Very good,3,2-3 times a month
921911,5,1,Bad,20,Every day
921937,4,4,Very good,10,Several times a week
921945,6,7,Very good,,Once a week
921953,8,9,Fair,,Every day
921987,7,7,Very good,,Once a week
922056,6,8,Good,,Every day
922072,7,9,Very good,,Once a month
922080,5,6,Fair,20,Several times a week
922129,4,8,Good,,Several times a week
922200,8,8,Good,,Once a month
922226,5,8,Good,,Several times a week
922250,8,8,Fair,,Several times a week
922399,8,9,Good,,Less than once a month
922412,8,9,Good,,2-3 times a month
922454,8,8,Good,,Less than once a month
922470,9,8,Fair,,Once a week
922501,9,8,Very good,,Several times a week
922519,8,8,Good,,Several times a week
922569,3,3,Fair,,Once a month
922577,6,9,Fair,,2-3 times a month
922593,Most people can be trusted,8,Fair,15,Every day
922658,5,Extremely happy,Good,,2-3 times a month
922690,4,9,Good,5,Less than once a month
922713,7,8,Good,,Several times a week
922721,7,9,Good,,2-3 times a month
922739,8,9,,15,Several times a week
922763,5,7,Good,,Once a week
922789,7,8,Very good,,Once a month
922852,2,8,Fair,,2-3 times a month
922860,8,8,Very good,,2-3 times a month
922886,,5,Very good,,Never
922894,8,Extremely happy,Very good,,Several times a week
922941,7,2,Bad,,Less than once a month
922975,8,8,Very good,,Every day
922983,6,7,Good,15,Once a week
922991,8,9,Good,,2-3 times a month
923052,8,Extremely happy,Good,,2-3 times a month
923109,8,9,Good,,Less than once a month
923133,9,8,Fair,3,Once a week
923141,7,9,Very good,,Several times a week
923159,8,2,Fair,15,Several times a week
923264,6,Extremely happy,Good,,Several times a week
923272,8,8,Very good,20,Once a week
923280,9,9,Good,20,Once a week
923361,7,9,Good,,Never
923379,,8,Good,,2-3 times a month
923400,8,Extremely happy,Very good,,Several times a week
923492,5,9,Good,,Once a week
923523,,9,Good,,Every day
923531,9,Extremely happy,Very good,,Several times a week
923557,9,9,Very good,,Once a week
923573,7,9,Very good,,2-3 times a month
923604,5,8,Good,5,Less than once a month
923620,8,Extremely happy,Good,,Several times a week
923646,You can't be too careful,Extremely happy,Very good,8,Less than once a month
923662,6,8,Very good,,2-3 times a month
923670,6,9,Good,,Once a month
923688,5,7,Fair,10,2-3 times a month
923701,5,9,Bad,,Once a week
923808,9,5,Very good,20,Every day
923858,9,9,Good,,
923882,,9,Very good,4,Every day
923905,6,,Good,12,
923913,7,9,Very good,,Every day
923939,9,Extremely happy,Good,,Several times a week
923989,9,7,Good,,2-3 times a month
924024,7,8,Good,,Less than once a month
924032,7,Extremely happy,Fair,,Every day
924040,8,9,Fair,,Every day
924058,9,,Good,10,Once a month
924066,5,6,,,Every day
924113,8,8,Very good,,Several times a week
924121,5,7,Very good,10,Never
924163,5,5,Good,,Once a week
924202,9,,Very bad,,Several times a week
924359,,Extremely happy,Good,,Once a week
924375,7,Extremely happy,Very good,,Once a month
924383,3,8,Bad,,Never
924406,8,8,Good,,Never
924464,,9,Good,,
924472,8,8,Very good,,Less than once a month
924480,8,Extremely happy,Very good,,Less than once a month
924503,7,8,Good,,Every day
924511,8,9,Fair,20,Less than once a month
924529,8,9,Good,,Several times a week
924545,5,Extremely happy,Good,4,Never
924626,8,8,Very good,25,Once a month
924676,3,8,Very good,,Once a week
924692,7,5,Good,,Once a week
924715,9,9,Good,3,Once a week
924731,5,8,Bad,,Never
924781,9,Extremely happy,Very good,,Several times a week
924812,You can't be too careful,9,Very good,,Once a week
924862,7,8,Very good,,Once a month
924901,Most people can be trusted,Extremely happy,Very good,,Several times a week
924951,7,8,,,Once a week
925054,8,7,Very good,4,Once a month
925088,4,Extremely happy,Very good,,Once a week
925096,6,9,Fair,,
925101,6,5,Very good,9,Once a week
925119,,8,Very good,,Several times a week
925127,5,9,Good,,Never
925177,5,Extremely happy,Good,13,Every day
925216,6,9,Good,,Several times a week
925258,7,7,Good,,Once a week
925282,6,7,,,Several times a week
925290,7,9,Very good,,Several times a week
925402,Most people can be trusted,8,Very good,,2-3 times a month
925525,8,Extremely happy,Fair,,Every day
925533,5,Extremely happy,Very good,,Several times a week
925559,7,,Good,,Once a week
925575,9,9,Very good,,Several times a week
925583,4,9,Good,,Less than once a month
925591,7,9,Very good,,2-3 times a month
925606,8,9,Very good,,Once a week
925622,8,8,Fair,,Every day
925656,6,9,Very good,,Several times a week
925680,8,Extremely happy,Good,,Several times a week
925703,8,5,Fair,,2-3 times a month
925745,7,8,Very good,20,Once a month
925753,7,7,Very good,0,Less than once a month
925787,7,9,Very good,,Less than once a month
925876,8,6,Very good,10,Several times a week
925884,5,9,Bad,,Never
925923,6,8,Bad,,Several times a week
926026,9,9,Very good,,Once a week
926092,7,9,Fair,15,2-3 times a month
926107,5,8,Very good,,Less than once a month
926131,8,9,Very good,,Less than once a month
926288,Most people can be trusted,9,Very good,,2-3 times a month
926458,8,7,Very good,15,Once a week
926539,7,8,Very good,0,Once a week
926555,6,8,Very good,,Less than once a month
926563,7,8,Fair,,Never
926589,,Extremely happy,,,Several times a week
926597,6,7,Good,,Less than once a month
926652,3,7,Good,,2-3 times a month
926660,3,5,Good,,Once a week
926694,8,Extremely happy,Good,,Every day
926733,7,8,Fair,,Less than once a month
926806,6,Extremely happy,Very good,,Several times a week
926898,5,6,Good,,Once a week
926903,9,9,Very good,,Every day
926911,8,8,Good,,2-3 times a month
926987,8,,Very good,,Several times a week
927006,7,6,Bad,,Less than once a month
927072,8,7,Good,,Several times a week
927187,3,9,Good,,Every day
927226,8,Extremely happy,Very good,,Less than once a month
927276,8,Extremely happy,Fair,,Several times a week
927323,8,Extremely happy,Fair,,Once a week
927331,,Extremely happy,Very good,,
927349,5,8,Very good,10,Once a week
927381,7,8,Fair,,Every day
927488,4,9,Fair,15,Less than once a month
927585,7,9,Good,,Once a month
927624,8,8,Good,,Once a week
927632,5,9,Good,,Never
927640,8,8,Very good,,Once a week
927763,5,,Good,,Less than once a month
927933,6,8,Fair,,Once a week
927967,8,8,Very good,0,Several times a week
927983,3,8,,20,Once a month
928002,8,8,Fair,,Several times a week
928028,8,6,Very good,10,Several times a week
928109,8,7,Good,,Once a week
928125,3,8,Good,,2-3 times a month
928303,5,9,Very good,,Several times a week
928361,9,8,Good,,Once a week
928400,8,8,Good,,Once a week
928418,7,6,Fair,,
928434,8,6,Fair,,2-3 times a month
928492,5,6,Good,20,
928515,7,8,Very good,,Several times a week
928573,8,8,Very good,,Never
928777,8,8,Good,20,
928785,,9,Fair,20,Once a week
928816,7,9,Good,,2-3 times a month
928840,3,5,Very good,,Less than once a month
928874,7,7,Very good,,Less than once a month
928905,6,,Bad,20,Once a week
928913,8,Extremely happy,Good,,Every day
928971,8,Extremely happy,Good,,Once a week
928997,5,8,Very good,25,Several times a week
929090,8,9,Fair,,Once a month
929139,7,9,Fair,,Once a month
929163,5,7,Fair,10,Once a week
929171,You can't be too careful,Extremely happy,Fair,,2-3 times a month
929202,Most people can be trusted,Extremely happy,Good,,Once a week
929210,7,Extremely happy,Fair,,Several times a week
929228,9,9,Good,,Several times a week
929325,8,Extremely happy,Good,,Less than once a month
929359,3,,Fair,,Several times a week
929414,7,8,Very good,20,Several times a week
929448,Most people can be trusted,1,Good,,Less than once a month
929456,8,8,Fair,,Less than once a month
929464,7,7,Good,,2-3 times a month
929529,9,8,Good,15,Several times a week
929587,8,7,Bad,,Once a week
929642,8,8,Good,,2-3 times a month
929692,,7,Very good,15,2-3 times a month
929757,4,8,Good,20,Less than once a month
929854,7,8,Very good,10,Once a week
929862,9,9,Good,,Several times a week
929870,9,Extremely happy,Very good,,Less than once a month
929977,4,8,Very good,15,2-3 times a month
929985,7,8,Good,0,Several times a week
930023,5,5,Fair,,Every day
930293,You can't be too careful,4,Bad,10,Every day
930316,4,1,Bad,10,
930324,5,7,Very good,,Every day
930332,8,9,Good,,Once a week
930374,9,9,Very good,,Several times a week
930497,7,8,Good,,2-3 times a month
930659,8,7,Good,4,Less than once a month
930667,5,Extremely happy,Good,,Once a week
930714,8,9,Good,,Less than once a month
930730,Most people can be trusted,9,Good,,Several times a week
930772,6,7,Very bad,3,2-3 times a month
930780,7,9,Very good,,Once a week
930811,8,Extremely happy,Very good,,Several times a week
930829,7,9,Bad,,Once a week
930853,5,8,Fair,,2-3 times a month
930887,8,8,Good,,2-3 times a month
930926,8,Extremely happy,Good,,Several times a week
930968,8,8,Good,,Once a week
930984,6,,Very good,,Once a week
930992,9,9,Very good,,Several times a week
931003,8,7,Good,,Once a week
931037,9,5,Good,10,2-3 times a month
931087,9,9,Good,,Once a week
931095,2,6,Bad,,2-3 times a month
931126,8,Extremely happy,Very good,,Less than once a month
931142,8,9,Fair,,Once a month
931150,8,9,Very good,,Once a week
931207,6,7,Fair,,Once a month
931249,3,8,Very good,,Several times a week
931281,5,7,Good,,2-3 times a month
931320,,8,Very good,20,Once a week
931338,8,8,Good,,Several times a week
931354,6,8,Good,0,Once a week
931469,,9,Good,,Less than once a month
931540,8,9,Good,,2-3 times a month
931566,Most people can be trusted,9,Fair,9,
931574,7,Extremely happy,Fair,,Once a week
931689,9,9,Good,15,Once a month
931697,8,9,Very good,,2-3 times a month
931728,5,3,Very good,1,Never
931736,9,Extremely happy,Very good,,Once a week
931794,5,Extremely happy,Very good,,
931817,5,Extremely happy,Good,,Several times a week
931825,7,,Very good,,Once a month
931867,5,9,Very good,5,Once a month
932025,1,8,Good,,Several times a week
932041,7,9,Very good,,2-3 times a month
932067,5,6,Fair,,Never
932083,,Extremely happy,Good,,Every day
932091,6,9,Very good,,Several times a week
932106,8,9,Good,,Less than once a month
932229,8,Extremely happy,Very good,20,Less than once a month
932237,8,8,Good,,Several times a week
932253,8,7,Very good,,Several times a week
932261,7,Extremely happy,Very good,,2-3 times a month
932287,9,9,Good,,Less than once a month
932318,You can't be too careful,9,Good,,2-3 times a month
932368,9,9,Good,,Several times a week
932407,3,9,Very good,,2-3 times a month
932499,5,Extremely happy,Fair,,2-3 times a month
932504,8,8,Good,0,2-3 times a month
932562,8,Extremely happy,Very good,,Several times a week
932596,9,Extremely happy,Very good,,Every day
932601,7,8,,20,Once a week
932669,8,9,Good,,Several times a week
932685,3,3,Bad,,
932708,9,9,Good,,Several times a week
932716,3,8,Good,,Several times a week
932724,5,9,Good,,Once a week
932758,9,8,Good,,Once a week
932871,2,5,Fair,2,Several times a week
932889,9,8,Good,,2-3 times a month
932897,You can't be too careful,7,Fair,10,Several times a week
932978,5,7,Fair,,Less than once a month
933005,7,Extremely happy,,,Once a week
933128,8,8,Fair,20,Once a week
933144,8,9,Good,,2-3 times a month
933259,9,8,Good,,Once a week
933275,8,8,Fair,,2-3 times a month
933348,7,9,Good,,Once a week
933372,7,9,Good,,Once a week
933398,7,8,Fair,15,Never
933403,8,Extremely happy,Very good,10,2-3 times a month
933429,8,9,Fair,,2-3 times a month
933461,8,8,Good,,Never
933487,5,8,Very good,,Several times a week
933518,5,7,Good,20,Once a month
933542,You can't be too careful,,,,
933607,3,9,Very good,,
933623,4,Extremely happy,Very good,,2-3 times a month
933673,1,Extremely happy,Very good,12,Once a week
933704,9,9,Very good,,Several times a week
933738,8,,Very good,,Several times a week
933869,7,8,Fair,10,Once a month
933893,9,8,Very good,,Once a week
933916,8,8,Good,20,Every day
933924,Most people can be trusted,9,Very good,10,Less than once a month
933940,8,9,Very good,,2-3 times a month
934001,8,Extremely happy,Fair,,2-3 times a month
934035,8,9,,,Every day
934077,3,,Bad,,Less than once a month
934108,6,6,Fair,,Once a week
934190,7,8,Good,,Less than once a month
934255,8,7,Good,,Once a week
934263,8,9,Good,,Every day
934386,6,9,Very good,7,Every day
934433,8,8,Very good,4,Several times a week
934475,8,8,Very good,,Several times a week
934645,8,6,Fair,8,Once a month
934653,,7,Very good,,Once a month
934726,4,Extremely happy,Very good,,Never
934750,5,9,Very good,,Less than once a month
934784,,8,Very good,5,Every day
934831,7,,Good,,
934873,8,7,Good,,Never
934912,5,8,Fair,0,2-3 times a month
934954,Most people can be trusted,7,Good,,Several times a week
934962,6,7,Good,,
934970,8,9,Good,15,Several times a week
935099,8,8,Very good,,
935170,3,Extremely happy,Bad,30,Never
935269,3,6,Fair,8,Every day
935285,8,Extremely happy,Very good,,Every day
935332,8,8,Very good,,Once a month
935340,7,9,Very good,,Once a week
935382,5,8,Very good,15,Never
935439,8,9,Fair,,Once a month
935463,4,,Fair,,Less than once a month
935489,9,6,Good,,Several times a week
935502,9,8,Very good,20,Several times a week
935536,7,9,Very good,,Once a month
935560,5,8,Very good,,Never
935586,4,4,Fair,10,2-3 times a month
935594,4,8,Very good,,2-3 times a month
935633,,9,Very good,,Several times a week
935641,8,9,Very good,,Several times a week
935706,8,9,Very good,,Once a week
935764,5,8,Very good,,Less than once a month
935780,5,9,Very good,,Once a week
935829,8,9,Good,,2-3 times a month
935845,7,Extremely happy,Very good,,Less than once a month
935853,8,8,Good,,2-3 times a month
935879,7,8,Very good,,Several times a week
935887,7,9,Very good,1,Less than once a month
935984,8,7,Good,20,Several times a week
936053,8,9,Good,3,Several times a week
936079,5,7,Fair,,
936087,8,7,Good,,Several times a week
936100,8,,Very good,,Less than once a month
936118,Most people can be trusted,9,Very good,,Several times a week
936150,8,9,Very good,,Several times a week
936184,9,9,Good,,Several times a week
936207,8,8,Good,,Once a month
936273,7,7,Very good,,Several times a week
936312,3,Extremely happy,,,Several times a week
936320,6,Extremely happy,Very good,20,Less than once a month
936346,6,9,Very good,,Once a month
936362,8,9,Good,,Every day
936370,8,Extremely happy,Fair,,Several times a week
936435,8,Extremely happy,Good,,Never
936516,8,9,Good,,Several times a week
936540,6,Extremely happy,Very good,,Several times a week
936697,8,8,Fair,,Several times a week
936728,8,9,Very good,,Once a week
936736,8,8,Fair,,Every day
936744,5,Extremely happy,Good,12,Several times a week
936752,5,9,Good,20,Never
936778,7,6,Good,15,Several times a week
936794,5,8,Good,,
936859,5,8,,,Every day
936883,5,8,Good,,2-3 times a month
937009,7,9,Good,,Once a week
937017,8,9,Very good,,Every day
937041,2,9,Fair,2,Once a week
937059,4,8,Very good,19,Never
937083,4,9,Very good,,Several times a week
937114,8,8,Very good,,Once a month
937148,5,8,Fair,,Once a week
937172,8,9,Very good,2,Several times a week
937198,4,Extremely happy,Very good,10,Less than once a month
937245,8,9,Good,,2-3 times a month
937318,8,9,Good,,Never
937342,5,5,Very good,4,Several times a week
937368,4,Extremely happy,Fair,,Every day
937384,8,8,Good,,2-3 times a month
937392,7,9,Very good,,Several times a week
937465,4,8,Very good,20,Every day
937499,8,9,Fair,,
937504,Most people can be trusted,Extremely happy,Very good,,Less than once a month
937562,7,7,Very good,,Once a week
937596,7,7,Good,,Once a month
937643,9,8,Fair,,Once a month
937716,8,9,Good,8,Once a week
937774,7,9,Good,,Once a week
937782,8,9,Good,,Several times a week
937813,5,8,Very good,,Several times a week
937821,3,,Fair,,2-3 times a month
937863,8,8,Very good,,Several times a week
937910,4,7,Good,20,Once a week
938005,9,9,Very good,,Once a week
938039,9,7,Very good,1,Several times a week
938047,8,9,Fair,,Never
938055,8,Extremely happy,Very good,,Less than once a month
938102,5,Extremely happy,Very good,,Once a week
938178,5,8,Good,12,Less than once a month
938194,6,Extremely happy,Fair,,2-3 times a month
938241,6,5,Fair,20,Once a week
938283,7,8,Good,,Once a month
938356,6,Extremely happy,Very good,,Less than once a month
938364,7,Extremely happy,Very good,,2-3 times a month
938398,7,9,Very good,,Several times a week
938437,6,8,Good,,Once a month
938461,8,8,Fair,,Less than once a month
938623,9,9,Good,,Once a week
938631,7,8,Very good,,2-3 times a month
938665,4,8,Very good,,2-3 times a month
938681,8,7,Good,,Once a month
938704,Most people can be trusted,8,Fair,,Once a month
938843,8,7,Very good,,Once a month
938885,8,7,,20,Several times a week
938940,7,8,Good,,2-3 times a month
938966,8,Extremely happy,Very good,,Every day
938974,7,7,Good,,Less than once a month
939001,8,,Very good,,Once a week
939124,3,Extremely happy,Good,,
939140,8,7,Good,,2-3 times a month
939182,8,9,Good,,Less than once a month
939271,7,7,Good,,Less than once a month
939344,8,8,Fair,,Several times a week
939386,9,Extremely happy,,,2-3 times a month
939467,5,2,Fair,,Less than once a month
939483,7,9,Fair,,Less than once a month
939530,,8,Bad,,Several times a week
939556,6,8,Good,,Once a week
939700,9,9,Very good,,Once a week
939718,6,Extremely happy,Fair,,Once a month
939742,6,7,Bad,,Every day
939792,You can't be too careful,9,Fair,10,2-3 times a month
939807,7,8,Very good,,Once a month
939865,,6,Fair,,2-3 times a month
939873,5,7,Very good,18,Less than once a month
939881,8,Extremely happy,Very good,,2-3 times a month
939938,8,9,Very good,,Less than once a month
939970,,9,Very good,,Several times a week
940026,8,7,Good,,Never
940050,7,Extremely happy,Very good,,Less than once a month
940084,9,Extremely happy,Good,,Never
940107,7,8,Good,4,2-3 times a month
940165,7,8,Good,,Once a week
940173,8,Extremely happy,Good,,Once a month
940246,7,9,Very good,,2-3 times a month
940254,6,8,Very good,,Once a week
940296,7,8,Very good,,Once a week
940319,5,9,Good,,Once a week
940335,2,3,Good,,2-3 times a month
940351,5,4,Bad,5,Never
940385,4,9,Good,,Once a month
940458,3,7,Fair,,Once a week
940466,6,8,,,Once a week
940490,8,9,Very good,,2-3 times a month
940547,9,Extremely happy,Good,0,Several times a week
940678,6,8,Bad,,Less than once a month
940717,Most people can be trusted,8,Very good,,Several times a week
940725,8,Extremely happy,Very good,,Several times a week
940759,5,6,Fair,,2-3 times a month
940783,8,7,,,Several times a week
940848,7,9,Good,,Several times a week
940864,4,,Good,,Once a month
940880,8,6,Fair,12,Once a week
940979,8,9,Fair,0,Several times a week
940987,Most people can be trusted,8,Very good,,Once a week
941153,4,6,Good,,Once a week
941195,8,9,Good,,2-3 times a month
941226,8,8,Good,,Several times a week
941242,,8,Very good,,Several times a week
941268,6,9,Good,,Once a week
941284,7,4,Fair,,Several times a week
941365,7,9,Fair,,Never
941373,5,Extremely happy,Good,8,2-3 times a month
941412,5,7,Fair,,Less than once a month
941438,6,7,Very good,,Several times a week
941535,3,9,Very good,,Once a week
941543,8,9,Good,,Once a week
941551,,3,Bad,,Less than once a month
941569,9,Extremely happy,Fair,,Less than once a month
941721,9,Extremely happy,Good,,Once a week
941747,4,5,Fair,20,Less than once a month
941771,8,7,Very good,,Several times a week
941828,7,8,Very good,,Every day
941844,9,6,Bad,,Never
941860,7,Extremely happy,Very good,,Less than once a month
941886,9,7,Good,,2-3 times a month
941909,8,9,Very good,,Once a week
941975,8,7,Very good,,Once a week
941991,9,9,Good,,Less than once a month
942036,7,9,Bad,,Several times a week
942078,7,8,Good,1,Several times a week
942094,8,,Very good,,Less than once a month
942117,7,7,Good,,Several times a week
942141,7,8,Very good,15,Several times a week
942175,2,Extremely unhappy,Very bad,30,Less than once a month
942183,5,6,Good,,Once a week
942298,Most people can be trusted,Extremely happy,Very good,,Several times a week
942442,9,9,,,Several times a week
942468,8,8,Good,,Once a week
942476,4,7,Fair,,Once a week
942492,3,Extremely happy,Fair,,2-3 times a month
942515,8,6,Fair,12,Once a week
942531,9,8,Good,,Once a week
942557,9,8,Fair,6,Once a week
942565,9,9,Good,,Once a month
942599,7,7,Very good,,2-3 times a month
942662,8,7,Good,15,2-3 times a month
942743,3,,Fair,,2-3 times a month
942785,8,9,Very good,,Every day
942808,5,8,Very good,,Once a week
942816,4,4,Good,,2-3 times a month
942824,8,5,Good,,Every day
942840,8,8,Very good,13,2-3 times a month
942874,5,7,Very bad,,Less than once a month
942913,7,9,Good,,Once a week
942939,8,Extremely happy,Good,,2-3 times a month
942947,9,8,Fair,,Several times a week
942955,8,9,Very good,,2-3 times a month
942963,1,Extremely happy,Very good,,2-3 times a month
943008,7,9,Fair,,2-3 times a month
943040,8,Extremely happy,Very good,,Several times a week
943066,9,9,Very good,,Less than once a month
943082,9,8,Good,20,Every day
943105,8,8,Very good,,Once a week
943147,8,9,Very good,,Less than once a month
943155,9,9,Fair,,Several times a week
943171,8,8,Very good,,2-3 times a month
943236,1,Extremely happy,Good,,
943260,5,8,Bad,,Never
943278,8,8,Fair,4,Once a month
943294,5,8,,,Several times a week
943325,4,8,Good,,2-3 times a month
943341,4,7,Fair,7,Less than once a month
943430,Most people can be trusted,5,Very good,,2-3 times a month
943545,4,5,Bad,,Several times a week
943634,7,,Good,,Several times a week
943642,5,7,Fair,,Once a week
943668,9,9,Very good,,Once a week
943749,5,9,,,Never
943773,8,2,Bad,,Several times a week
943846,2,,Good,,Several times a week
943896,8,9,Very good,,Every day
943951,8,8,Very good,,2-3 times a month
943985,8,7,Good,,Once a week
943993,7,8,Good,,Every day
944004,9,9,Good,5,Once a week
944012,8,9,Very good,,Never
944046,9,7,Very good,,Several times a week
944070,6,8,Good,10,Several times a week
944088,7,9,Good,14,Several times a week
944119,3,5,Fair,20,2-3 times a month
944193,7,9,Good,0,Once a week
944216,5,Extremely happy,Fair,,Once a week
944266,7,8,Good,,
944313,2,9,Good,,Never
944363,8,8,Fair,12,Once a month
944436,9,Extremely happy,Very good,,Several times a week
944517,7,9,Fair,,
944525,3,Extremely happy,Bad,,Once a month
944541,6,9,Very good,,Less than once a month
944575,7,Extremely happy,Very good,20,Once a week
944622,8,8,Fair,,Once a week
944630,8,8,Very good,,Never
944664,7,7,Very good,6,Every day
944711,8,8,Very good,,Once a week
944779,5,8,Fair,,Several times a week
944818,8,6,Fair,,2-3 times a month
944923,9,Extremely happy,Good,,Less than once a month
944949,,9,Good,,Once a week
944999,7,7,Fair,,Every day
945018,8,8,Good,,Several times a week
945034,9,8,Good,,Less than once a month
945042,6,8,,,Once a week
945068,5,4,Bad,102,Several times a week
945076,7,8,Fair,20,Never
945092,8,8,Good,,2-3 times a month
945107,7,Extremely happy,Very bad,,2-3 times a month
945149,8,9,Very good,,Once a month
945262,7,Extremely happy,Very good,20,Every day
945296,7,9,Good,,Less than once a month
945301,7,8,Good,,Once a week
945555,,8,Fair,,Less than once a month
945563,Most people can be trusted,9,Good,,Every day
945571,8,8,Fair,,Less than once a month
945652,4,8,Very good,10,Once a week
945660,6,9,Good,,Several times a week
945733,9,8,Fair,,Several times a week
945759,7,9,Very good,,2-3 times a month
945791,3,Extremely happy,Very good,,Once a week
945856,9,Extremely happy,Good,,Once a week
945937,8,8,Very good,,Several times a week
945961,5,7,Fair,30,Several times a week
946030,7,8,Very good,,Several times a week
946153,6,7,Bad,,Never
946161,7,5,Very good,,Once a month
946218,8,8,Good,20,Several times a week
946250,6,8,Good,7,2-3 times a month
946268,5,9,Very good,10,2-3 times a month
946292,8,9,Very good,,Once a month
946349,4,7,Fair,,Several times a week
946519,5,Extremely happy,Fair,,Less than once a month
946527,8,,Bad,,Every day
946535,8,8,Good,,2-3 times a month
946585,8,Extremely happy,Good,,Several times a week
946616,8,8,Very good,,Less than once a month
946624,8,8,Fair,,Several times a week
946682,8,8,Good,,Once a month
946690,5,8,Very good,20,Several times a week
946747,3,8,Good,,Several times a week
946810,5,8,Very good,,Once a week
946828,,9,Very good,,Once a week
946836,8,8,Very good,,Several times a week
946852,8,Extremely happy,Very good,,Several times a week
946967,You can't be too careful,8,Fair,,Every day
946975,8,9,Fair,,Once a week
947010,8,7,Fair,,Several times a week
947117,7,9,Very good,,2-3 times a month
947141,8,9,Good,,Once a month
947167,8,Extremely happy,Good,,Never
947230,7,8,Very good,,2-3 times a month
947248,Most people can be trusted,Extremely happy,Very good,,2-3 times a month
947256,9,6,Very good,,Several times a week
947272,5,4,Fair,,Several times a week
947337,Most people can be trusted,8,Good,,2-3 times a month
947345,8,9,Good,10,Once a week
947379,8,9,Good,,Once a week
947395,,8,Fair,,Once a week
947484,3,Extremely happy,Fair,,Once a month
947492,8,9,Good,,Once a week
947507,3,Extremely happy,Very good,,Every day
947515,Most people can be trusted,9,Good,5,Several times a week
947565,9,8,Good,,Several times a week
947612,7,8,Very good,3,Once a week
947638,Most people can be trusted,9,Good,,Several times a week
947735,7,8,Very good,,2-3 times a month
947751,6,8,Bad,,Every day
947769,8,9,Fair,,Several times a week
947808,9,7,Very good,20,Once a week
947840,9,9,Very good,,Once a week
947858,8,9,Very good,,Several times a week
947874,9,9,Good,,Once a week
947882,7,7,Very good,,2-3 times a month
948016,7,7,,8,Less than once a month
948074,5,8,Good,,Once a week
948082,5,8,Fair,,Once a week
948113,Most people can be trusted,Extremely happy,Fair,3,Once a week
948121,8,9,Good,,Several times a week
948197,9,8,Good,,Several times a week
948202,9,Extremely happy,Fair,,Once a week
948391,7,7,Good,,Less than once a month
948406,7,8,Fair,,2-3 times a month
948414,7,8,Good,,Less than once a month
948448,8,7,Fair,,Several times a week
948472,8,8,Good,,Once a month
948480,8,,Very good,,2-3 times a month
948545,7,7,Good,,2-3 times a month
948595,8,Extremely happy,Good,,Several times a week
948600,3,7,Good,,2-3 times a month
948618,4,8,Good,,Never
948676,7,8,Fair,,Once a month
948715,9,6,Very good,,Once a week
948731,8,8,Good,,2-3 times a month
948765,5,8,Very good,,Less than once a month
948838,8,7,Good,,Several times a week
948846,5,7,Good,,2-3 times a month
948854,2,,Very good,15,2-3 times a month
948919,8,9,Good,,Never
948927,8,8,Very good,,Once a week
948943,4,8,Good,,Several times a week
948993,8,7,Good,,Once a week
949004,6,9,Very good,10,Several times a week
949020,8,6,Good,,Once a week
949054,9,Extremely happy,Very good,,2-3 times a month
949070,,,Very good,,2-3 times a month
949096,4,5,Very good,,Less than once a month
949119,9,9,Very good,,Once a week
949143,8,8,Good,,2-3 times a month
949224,7,Extremely happy,Fair,,2-3 times a month
949313,Most people can be trusted,Extremely happy,Good,,Several times a week
949321,8,Extremely happy,Very good,1,2-3 times a month
949339,7,Extremely happy,Good,,Every day
949389,8,Extremely happy,Good,,2-3 times a month
949397,7,8,Very good,,2-3 times a month
949486,8,8,Good,,Once a week
949541,8,8,Fair,,Less than once a month
949583,7,4,Fair,,Once a week
949614,8,8,Very good,,Several times a week
949630,7,8,Very good,10,Several times a week
949745,6,8,Very good,,Several times a week
949779,7,Extremely happy,Good,,Several times a week
949787,9,8,Very good,20,Once a week
949800,8,9,Good,5,Once a week
949826,Most people can be trusted,9,Very good,,2-3 times a month
949868,8,9,Fair,15,2-3 times a month
949876,7,,Very good,,2-3 times a month
949892,6,3,Fair,20,Every day
949907,7,8,Very good,,Several times a week
949931,7,Extremely happy,Fair,,Once a week
949981,7,Extremely happy,Very good,,Several times a week
950037,5,,Good,,Once a week
950053,7,Extremely happy,Good,,Several times a week
950079,6,9,Very good,,Never
950118,8,8,Good,,Several times a week
950134,9,9,Very good,,Less than once a month
950150,6,8,Good,,Several times a week
950273,2,7,Fair,,Less than once a month
950304,Most people can be trusted,Extremely happy,Very good,,Several times a week
950346,7,9,Good,,Several times a week
950354,8,9,Very good,,Every day
950362,4,9,Good,,Once a month
950443,5,,Very good,,Once a week
950477,8,8,Good,,2-3 times a month
950493,5,9,Good,,Once a week
