idno,ppltrst,happy,health,cgtsday,alcfreq
943626,5,7,Very good,,Once a week
937180,8,8,Good,,Several times a week
934904,9,Extremely happy,Very good,,Every day
947159,6,7,Very good,,Less than once a month
944101,4,Extremely happy,Very good,,2-3 times a month
930942,8,Extremely happy,Fair,,Several times a week
942361,8,8,Good,,Less than once a month
928133,7,6,Bad,,Less than once a month
949012,8,Extremely happy,Good,,Several times a week
930285,4,6,Fair,,Several times a week
934360,2,5,Very good,,Less than once a month
922608,5,9,Very good,,Every day
937805,7,,Good,15,Several times a week
950508,7,8,Very good,,Once a week
949258,8,9,Good,8,Every day
944208,,7,Very good,,Several times a week
929472,5,8,Fair,20,Never
949999,8,4,Good,,Several times a week
924943,7,9,Very good,,2-3 times a month
934093,4,8,Fair,10,Never
931964,8,Extremely happy,Very good,,Less than once a month
937538,6,6,Fair,15,Once a week
927250,8,9,Very good,,Several times a week
932059,4,5,Good,7,2-3 times a month
932033,5,9,Very good,,2-3 times a month
939661,8,8,Good,4,Several times a week
931744,,7,Fair,10,Every day
924155,5,8,Good,,Every day
935950,8,8,Good,,Once a week
938453,8,Extremely happy,Good,,Once a week
940343,8,8,Good,,
922098,4,9,Very good,3,Less than once a month
932520,5,8,Fair,,Every day
947646,Most people can be trusted,9,Very good,,Less than once a month
929367,9,8,Good,,Several times a week
927739,7,Extremely happy,Good,,Several times a week
923971,9,7,,,Never
925224,5,2,Fair,30,Less than once a month
936906,6,8,Good,,Every day
943595,,7,Very good,,Several times a week
921319,8,,Fair,10,Once a week
929600,8,9,Fair,20,Every day
929480,7,,Very good,,2-3 times a month
935316,7,Extremely happy,Very good,,Several times a week
944698,You can't be too careful,Extremely happy,Very good,,2-3 times a month
944787,8,7,Very good,,Every day
950427,5,7,Fair,23,Every day
931833,8,9,Very good,,Once a week
934289,9,Extremely happy,Very good,,Every day
931841,7,7,Very good,10,Several times a week
931906,5,Extremely happy,Very good,0,Never
929707,5,8,Fair,,Less than once a month
931647,7,8,Good,10,2-3 times a month
933649,8,8,Very good,5,Once a week
936427,8,Extremely happy,Very good,,2-3 times a month
938607,6,9,Very good,,Once a week
933209,9,Extremely happy,Good,,Every day
924430,7,8,Very good,,Once a week
928662,8,Extremely happy,Very good,,Once a week
944428,7,8,Very good,,Several times a week
939920,Most people can be trusted,9,Good,,2-3 times a month
934548,9,9,Good,,2-3 times a month
936922,,9,Very good,,Several times a week
924367,5,8,Very good,,Once a week
936760,8,7,Good,,2-3 times a month
938013,6,8,Fair,,Never
939239,8,8,Good,10,Less than once a month
949591,9,9,Very good,,Once a week
933835,7,9,Good,30,Once a week
946917,8,9,Good,,2-3 times a month
926848,8,9,Very good,15,Once a month
931419,7,Extremely happy,Good,4,Every day
923353,7,Extremely happy,Very good,,Several times a week
924618,7,9,Good,,Once a week
950061,7,Extremely happy,Very good,1,Once a week
942280,Most people can be trusted,9,Very good,,Never
921880,7,9,Good,,Once a week
938160,7,8,Good,20,Every day
927307,7,8,Good,7,Once a week
923727,7,9,Good,3,2-3 times a month
945026,6,8,Good,,Less than once a month
921204,9,8,Good,,Once a week
941917,7,9,Good,,2-3 times a month
940686,6,8,Fair,,2-3 times a month
922462,Most people can be trusted,Extremely happy,Very good,,Once a week
930382,4,6,Fair,,Never
932677,Most people can be trusted,9,Very good,,
933657,8,6,Fair,,Several times a week
931011,6,6,Good,,Never
922925,9,8,Very good,,Once a week
936396,8,8,,,Once a week
948529,8,9,Very good,,2-3 times a month
928670,7,Extremely happy,Very good,,
921076,8,8,Good,,Several times a week
939946,6,7,Fair,,Once a week
924278,Most people can be trusted,Extremely happy,Good,20,Several times a week
926775,8,8,Good,20,Several times a week
948286,7,9,Very good,,2-3 times a month
938615,8,3,Fair,,Less than once a month
925826,7,9,Very good,,2-3 times a month
938657,,9,Good,,Less than once a month
947303,7,9,Good,,Less than once a month
947523,Most people can be trusted,Extremely happy,Good,,Once a week
934158,6,8,Fair,,2-3 times a month
928824,7,Extremely happy,Very good,,2-3 times a month
940076,7,9,Very good,,2-3 times a month
926343,2,Extremely happy,Very good,,Several times a week
939302,8,9,Fair,,Every day
924854,7,7,Good,,Never
922933,9,9,Fair,,Less than once a month
937554,5,Extremely happy,Very good,6,Once a week
921678,4,Extremely happy,Very good,10,Every day
937449,8,8,Good,,2-3 times a month
929121,6,Extremely happy,,,Every day
941878,8,8,Good,,Several times a week
946331,9,8,Fair,,2-3 times a month
930154,4,7,Good,6,Once a month
921539,7,,Very good,5,Less than once a month
938380,6,8,Good,,Less than once a month
935811,5,9,Good,8,2-3 times a month
928735,8,Extremely happy,Very good,,Once a week
944826,3,Extremely happy,Very good,10,Several times a week
947060,5,9,Very good,20,Several times a week
937627,7,9,Very good,,Once a month
946446,8,9,Very good,,
949216,7,8,Very good,,Once a month
940377,8,Extremely happy,Very bad,,Once a month
930976,5,Extremely happy,Good,,Less than once a month
944672,8,9,Very good,,Once a week
943480,5,5,Fair,,Several times a week
939904,Most people can be trusted,Extremely happy,Very good,,Every day
937261,You can't be too careful,9,Good,,Less than once a month
930594,7,Extremely happy,Very good,,2-3 times a month
936011,7,9,Good,,Several times a week
937253,8,9,Good,,Several times a week
945830,3,Extremely happy,Very good,,Once a month
940830,7,9,Good,,Several times a week
931304,8,9,Good,,2-3 times a month
926238,4,9,Very good,10,2-3 times a month
946488,8,Extremely happy,Very good,,Several times a week
949436,8,9,Good,10,2-3 times a month
944347,,7,Fair,,Less than once a month
928086,8,Extremely happy,Very good,,Several times a week
934522,8,9,Very good,,Every day
940301,7,,Good,,Once a week
926880,7,8,Very good,,Once a week
949923,4,7,Good,,2-3 times a month
947214,Most people can be trusted,9,Good,,Less than once a month
924969,8,5,Good,20,Every day
932910,8,8,Good,,Several times a week
946014,5,7,Good,,2-3 times a month
932588,4,9,,,Once a month
929676,9,8,Good,,Every day
922381,5,9,Good,,Less than once a month
932651,1,8,Very good,,2-3 times a month
923816,7,9,Good,,2-3 times a month
944478,8,8,Very good,16,Once a week
929537,6,9,Very good,0,Several times a week
942010,5,9,Very good,,Once a week
936710,9,Extremely happy,Very good,,Once a month
926319,7,8,Good,13,
943016,8,8,Good,10,Several times a week
939899,7,9,Good,,Once a week
938479,8,3,Fair,,Several times a week
946933,6,7,,20,Several times a week
947557,8,8,Fair,,Less than once a month
923434,5,9,Good,11,Less than once a month
927616,Most people can be trusted,9,Very good,,2-3 times a month
935057,8,8,Very good,20,Less than once a month
946195,7,Extremely happy,Very good,,2-3 times a month
942264,9,Extremely happy,Good,,2-3 times a month
938699,8,Extremely happy,Good,,Several times a week
941608,7,8,Fair,,Once a month
934483,8,7,Fair,,Once a month
938063,7,8,Very good,,Several times a week
921034,8,8,Good,,Every day
926034,7,Extremely happy,Very good,20,Once a week
937546,8,8,Good,,Several times a week
940042,8,8,Very good,,Several times a week
939190,8,,Fair,,Once a week
931493,,6,Bad,20,Less than once a month
929197,9,Extremely happy,Good,10,Several times a week
936249,4,3,Bad,,Less than once a month
936825,7,Extremely happy,Very good,,Once a week
937376,7,9,Good,,Several times a week
933291,Most people can be trusted,Extremely happy,Good,,Never
939653,8,8,Good,,Several times a week
925193,,8,Fair,1,Once a week
936095,7,8,Very good,,2-3 times a month
921440,9,9,Good,,Once a week
930112,8,9,Very good,,Once a week
939441,9,9,Very good,20,Several times a week
934556,6,8,Good,1,Once a month
923094,5,8,Fair,,2-3 times a month
926678,,,Very good,,Less than once a month
938225,8,Extremely happy,Very good,,Once a month
921521,6,9,Good,,Several times a week
941640,8,9,Very good,,Once a week
929105,5,7,Very good,,2-3 times a month
942701,6,5,Fair,,2-3 times a month
943757,7,8,,,Less than once a month
949046,7,8,Good,,
924846,8,9,Very good,,Less than once a month
925232,5,9,Very good,,Once a month
941030,8,8,Good,,Once a week
932180,8,7,Very good,,Once a month
923060,8,9,Good,,Several times a week
947662,9,8,Very good,,2-3 times a month
939174,8,8,Very good,,Never
935659,Most people can be trusted,9,Very good,,Never
944567,7,8,Good,,Several times a week
922404,8,Extremely happy,Very good,,Once a week
934661,,9,Very good,,Several times a week
946276,7,Extremely happy,Very good,,2-3 times a month
925567,6,Extremely happy,Fair,,2-3 times a month
941129,3,6,Fair,12,Several times a week
930170,7,Extremely happy,Very good,9,Less than once a month
949703,7,9,Very good,,Once a week
939116,7,7,Very good,12,Once a month
946129,7,8,Very good,,Once a month
945220,8,9,Good,,Once a week
928345,6,7,Good,7,Several times a week
938542,9,9,Very good,,Once a month
934637,8,Extremely happy,Very good,,Every day
928727,6,Extremely happy,Very good,,2-3 times a month
936265,7,8,Good,,Less than once a month
923183,5,9,Very good,10,Once a month
931930,5,Extremely happy,Very good,,Several times a week
936655,,Extremely happy,Good,,Less than once a month
939491,6,8,Very good,,
934352,9,9,Very good,,2-3 times a month
937839,Most people can be trusted,Extremely happy,Very good,,Once a week
921898,8,Extremely happy,Very good,,2-3 times a month
924236,8,9,,,Several times a week
932928,6,8,Very good,,Every day
922967,8,7,Fair,,Once a week
934988,7,8,Fair,5,Never
949622,8,9,Very good,,2-3 times a month
927894,8,8,Very good,12,2-3 times a month
926377,,8,Fair,20,Once a week
928044,7,2,Very bad,,Every day
947905,4,9,Very good,,Several times a week
938487,5,8,Fair,,2-3 times a month
931605,1,,,,
950320,7,Extremely happy,Good,,Once a week
934996,8,Extremely happy,Good,,2-3 times a month
942604,7,9,Very good,,
941470,8,9,Good,1,Once a week
941179,3,3,Very bad,12,Never
925371,5,9,Fair,,
926709,3,9,Fair,,2-3 times a month
950469,7,8,,,Several times a week
930578,7,9,Good,,Once a month
926937,7,Extremely happy,Good,,Every day
929626,7,7,Very good,,Once a month
935104,5,Extremely happy,Very good,,Every day
926385,8,8,Very good,,Once a week
936443,7,8,Very good,7,
929799,7,8,Very good,,Every day
921563,4,8,Good,8,
946496,1,5,Fair,,
936980,7,8,Good,,Once a month
943090,9,9,Very good,8,Several times a week
947890,7,,Very good,,Once a month
939051,,9,Very good,,Once a month
931118,8,7,Good,4,Several times a week
948422,3,,Good,,Less than once a month
938128,5,8,,,
949517,7,8,Very good,,Less than once a month
925046,7,9,Very good,10,
946569,Most people can be trusted,9,Bad,,Several times a week
936663,7,7,Good,2,Once a week
930104,5,,Bad,20,Several times a week
929147,7,9,Fair,,Less than once a month
932855,3,9,Very good,,Less than once a month
938550,8,9,Fair,,Once a week
938259,9,9,Very good,,Several times a week
934611,8,Extremely happy,Good,4,Several times a week
947947,7,8,Fair,,Once a week
941577,7,,Fair,,2-3 times a month
928060,8,8,Good,12,Never
950192,9,8,Very good,,Several times a week
928476,6,9,Very good,,2-3 times a month
