idno,height,weight,gndr,yrbrn
921880,180,80,Female,1963
938160,178,125,Male,1960
927307,161,63,Female,1995
923727,160,54,Female,1940
945026,167,61,Female,1955
921204,157,48,,1941
941917,,73,Female,1961
940686,,65,Female,1987
922462,160,60,Female,1968
930382,175,90,Female,1983
932677,185,80,Male,1953
933657,173,108,Female,1969
931011,184,78,Male,1978
922925,186,66,Male,1986
936396,168,78,Female,1963
948529,181,78,Female,1972
928670,183,81,Male,1964
921076,,70,Female,1958
939946,190,78,Male,1996
924278,167,,Female,1934
926775,189,75,Male,1989
948286,157,55,Female,1993
938615,160,63,Female,1991
925826,171,64,Female,1989
938657,162,65,Female,1983
947303,173,59,Female,1999
947523,170,72,Male,1927
934158,187,86,Male,
928824,163,56,Female,1981
940076,170,60,Female,1998
926343,189,80,Male,1987
939302,160,51,Female,1914
924854,173,87,Male,1966
922933,160,98,Female,1965
937554,172,68,Female,1978
921678,178,65,Male,1946
937449,182,92,Male,1974
929121,164,73,Male,1941
941878,183,84,Male,1985
946331,172,68,Male,1945
930154,182,81,Male,1988
921539,170,78,Female,1982
938380,176,,Female,1998
935811,174,69,Female,1974
928735,165,76,Female,1943
944826,173,,Female,1971
947060,190,96,Male,1984
937627,180,85,Male,1969
946446,182,95,Male,1965
949216,180,69,Male,1994
940377,181,78,Male,1984
930976,163,56,Female,1995
944672,190,85,Male,1976
943480,174,94,Male,1930
939904,165,58,Female,1928
937261,180,75,Female,1981
930594,176,114,Female,1965
936011,162,69,Female,1942
937253,173,90,Female,1950
945830,174,79,Female,1941
940830,170,66,Female,1947
931304,163,54,Female,1970
926238,169,56,Female,1969
946488,164,80,Female,1947
949436,160,83,Female,1967
944347,,90,Female,1965
928086,176,65,Female,1949
934522,182,98,Male,1944
940301,180,79,Male,1957
926880,161,62,Female,1969
949923,172,67,Female,1975
947214,178,57,Female,1986
924969,176,76,Male,1957
932910,180,66,Female,1956
946014,182,70,Male,1997
932588,179,78,Male,1989
929676,180,72,Male,1939
922381,177,75,Male,1969
932651,187,79,Male,1997
923816,165,70,Female,1999
944478,182,93,Male,1948
929537,174,64,Male,1942
942010,180,,,1952
936710,172,60,Female,1954
926319,172,62,Male,1957
943016,176,78,Male,1961
939899,163,60,Female,1999
938479,188,90,Male,1965
946933,170,85,Female,1956
947557,159,108,Female,1980
923434,164,60,Female,1968
927616,188,101,Male,1941
935057,173,73,Male,1969
946195,191,95,Male,1991
942264,162,68,Female,1988
938699,176,,Male,1933
941608,168,85,Female,1963
934483,160,57,Female,1940
938063,180,80,Male,1944
921034,176,87,Male,1957
926034,173,72,Male,1956
937546,170,75,Male,1947
940042,,108,Male,1954
939190,168,56,Female,1934
931493,167,98,Male,1946
929197,182,90,Male,1962
936249,189,107,Male,1964
936825,179,70,Male,1999
937376,178,78,Male,1945
933291,161,53,Male,1953
939653,169,60,Female,1982
925193,189,75,Male,1996
936095,188,66,Male,1978
921440,178,76,Male,1975
930112,194,71,Male,1963
939441,,108,Male,1991
934556,167,63,Male,1990
923094,165,58,Female,1986
926678,180,,Male,1941
938225,168,55,Female,1999
921521,191,75,Male,1987
941640,187,84,Male,1958
929105,158,68,Female,1981
942701,174,106,Female,1974
943757,174,103,Female,1971
949046,183,75,Male,1981
