idno,polpartvt
923400,[5] Dansk Folkeparti - Danish peoples party
923418,[NA] Refusal
923426,[4] SF Socialistisk Folkeparti - Socialist People's Party
923434,[1] Socialdemokraterne - the Danish social democrats
923476,[NA] Not applicable
923492,[4] SF Socialistisk Folkeparti - Socialist People's Party
923523,[1] Socialdemokraterne - the Danish social democrats
923531,"[7] Venstre, Danmarks Liberale Parti - Venstre"
923557,[2] Det Radikale Venstre - Danish Social-Liberal Party
923573,[5] Dansk Folkeparti - Danish peoples party
923604,[4] SF Socialistisk Folkeparti - Socialist People's Party
923612,[NA] Not applicable
923620,[3] Det Konservative Folkeparti - Conservative
923646,[NA] Refusal
923662,"[7] Venstre, Danmarks Liberale Parti - Venstre"
923670,[5] Dansk Folkeparti - Danish peoples party
923688,[5] Dansk Folkeparti - Danish peoples party
923701,[1] Socialdemokraterne - the Danish social democrats
923719,"[7] Venstre, Danmarks Liberale Parti - Venstre"
923727,[5] Dansk Folkeparti - Danish peoples party
923743,[NA] Refusal
923769,[1] Socialdemokraterne - the Danish social democrats
923777,"[7] Venstre, Danmarks Liberale Parti - Venstre"
923785,[2] Det Radikale Venstre - Danish Social-Liberal Party
923793,"[7] Venstre, Danmarks Liberale Parti - Venstre"
923808,[1] Socialdemokraterne - the Danish social democrats
923816,[NA] Not applicable
923824,[3] Det Konservative Folkeparti - Conservative
923832,[NA] Not applicable
923858,[2] Det Radikale Venstre - Danish Social-Liberal Party
923866,[8] Liberal Alliance - Liberal Alliance
923882,"[7] Venstre, Danmarks Liberale Parti - Venstre"
923890,[NA] Not applicable
923905,[NA] Not applicable
923913,[8] Liberal Alliance - Liberal Alliance
923939,[1] Socialdemokraterne - the Danish social democrats
923971,"[7] Venstre, Danmarks Liberale Parti - Venstre"
923989,[NA] Not applicable
923997,[NA] Refusal
924024,[NA] Not applicable
924032,"[7] Venstre, Danmarks Liberale Parti - Venstre"
924040,[2] Det Radikale Venstre - Danish Social-Liberal Party
924058,[9] Enhedslisten - Unity List - The Red-Green Alliance
924066,"[7] Venstre, Danmarks Liberale Parti - Venstre"
924074,"[7] Venstre, Danmarks Liberale Parti - Venstre"
924090,[1] Socialdemokraterne - the Danish social democrats
924105,[2] Det Radikale Venstre - Danish Social-Liberal Party
924113,[NA] Not applicable
924121,[1] Socialdemokraterne - the Danish social democrats
924139,[NA] Don't know
924155,[3] Det Konservative Folkeparti - Conservative
924163,[10] Andet - other
924171,[NA] Not applicable
924202,[5] Dansk Folkeparti - Danish peoples party
924236,"[7] Venstre, Danmarks Liberale Parti - Venstre"
924244,[5] Dansk Folkeparti - Danish peoples party
924252,[NA] Not applicable
924278,[2] Det Radikale Venstre - Danish Social-Liberal Party
924325,"[7] Venstre, Danmarks Liberale Parti - Venstre"
924359,[5] Dansk Folkeparti - Danish peoples party
924367,[1] Socialdemokraterne - the Danish social democrats
924375,[3] Det Konservative Folkeparti - Conservative
924383,[10] Andet - other
924406,[1] Socialdemokraterne - the Danish social democrats
924430,[3] Det Konservative Folkeparti - Conservative
924464,[9] Enhedslisten - Unity List - The Red-Green Alliance
924472,[2] Det Radikale Venstre - Danish Social-Liberal Party
924480,[1] Socialdemokraterne - the Danish social democrats
924498,[1] Socialdemokraterne - the Danish social democrats
924503,[5] Dansk Folkeparti - Danish peoples party
924511,[4] SF Socialistisk Folkeparti - Socialist People's Party
924529,[1] Socialdemokraterne - the Danish social democrats
924545,[NA] Not applicable
924561,[1] Socialdemokraterne - the Danish social democrats
924579,"[7] Venstre, Danmarks Liberale Parti - Venstre"
924595,[9] Enhedslisten - Unity List - The Red-Green Alliance
924600,"[7] Venstre, Danmarks Liberale Parti - Venstre"
924618,[8] Liberal Alliance - Liberal Alliance
924626,"[7] Venstre, Danmarks Liberale Parti - Venstre"
924676,"[7] Venstre, Danmarks Liberale Parti - Venstre"
924692,[4] SF Socialistisk Folkeparti - Socialist People's Party
924715,[2] Det Radikale Venstre - Danish Social-Liberal Party
924731,[NA] Not applicable
924781,"[7] Venstre, Danmarks Liberale Parti - Venstre"
924812,[3] Det Konservative Folkeparti - Conservative
924846,[NA] Don't know
924854,[2] Det Radikale Venstre - Danish Social-Liberal Party
924862,[1] Socialdemokraterne - the Danish social democrats
924901,[2] Det Radikale Venstre - Danish Social-Liberal Party
924943,[NA] Not applicable
924951,"[7] Venstre, Danmarks Liberale Parti - Venstre"
924969,[9] Enhedslisten - Unity List - The Red-Green Alliance
924985,"[7] Venstre, Danmarks Liberale Parti - Venstre"
925038,[3] Det Konservative Folkeparti - Conservative
925046,"[7] Venstre, Danmarks Liberale Parti - Venstre"
925054,[4] SF Socialistisk Folkeparti - Socialist People's Party
925062,[NA] Don't know
925088,"[7] Venstre, Danmarks Liberale Parti - Venstre"
925096,[NA] Not applicable
925101,[NA] Not applicable
925119,[NA] Not applicable
925127,[1] Socialdemokraterne - the Danish social democrats
925143,[5] Dansk Folkeparti - Danish peoples party
925169,[1] Socialdemokraterne - the Danish social democrats
925177,[3] Det Konservative Folkeparti - Conservative
925185,[3] Det Konservative Folkeparti - Conservative
925193,[NA] Not applicable
925216,"[7] Venstre, Danmarks Liberale Parti - Venstre"
925224,[NA] Not applicable
925232,[NA] Not applicable
925240,[1] Socialdemokraterne - the Danish social democrats
925258,[4] SF Socialistisk Folkeparti - Socialist People's Party
925274,[NA] Not applicable
925282,[5] Dansk Folkeparti - Danish peoples party
925290,[5] Dansk Folkeparti - Danish peoples party
925305,[1] Socialdemokraterne - the Danish social democrats
925313,"[7] Venstre, Danmarks Liberale Parti - Venstre"
925355,[9] Enhedslisten - Unity List - The Red-Green Alliance
925371,[1] Socialdemokraterne - the Danish social democrats
925397,"[7] Venstre, Danmarks Liberale Parti - Venstre"
925402,[6] Kristendemokraterne - Christian democrats
925410,"[7] Venstre, Danmarks Liberale Parti - Venstre"
925509,"[7] Venstre, Danmarks Liberale Parti - Venstre"
925525,[5] Dansk Folkeparti - Danish peoples party
925533,"[7] Venstre, Danmarks Liberale Parti - Venstre"
925541,[1] Socialdemokraterne - the Danish social democrats
925559,[NA] Not applicable
925567,"[7] Venstre, Danmarks Liberale Parti - Venstre"
925575,[9] Enhedslisten - Unity List - The Red-Green Alliance
925583,[NA] Not applicable
925591,[4] SF Socialistisk Folkeparti - Socialist People's Party
925606,"[7] Venstre, Danmarks Liberale Parti - Venstre"
925614,[5] Dansk Folkeparti - Danish peoples party
925622,[1] Socialdemokraterne - the Danish social democrats
925656,"[7] Venstre, Danmarks Liberale Parti - Venstre"
925680,"[7] Venstre, Danmarks Liberale Parti - Venstre"
925703,"[7] Venstre, Danmarks Liberale Parti - Venstre"
925745,"[7] Venstre, Danmarks Liberale Parti - Venstre"
925753,"[7] Venstre, Danmarks Liberale Parti - Venstre"
925761,[1] Socialdemokraterne - the Danish social democrats
925787,[NA] Refusal
925795,"[7] Venstre, Danmarks Liberale Parti - Venstre"
925826,[5] Dansk Folkeparti - Danish peoples party
925876,[5] Dansk Folkeparti - Danish peoples party
925884,[NA] Not applicable
925923,"[7] Venstre, Danmarks Liberale Parti - Venstre"
925999,[2] Det Radikale Venstre - Danish Social-Liberal Party
926026,[2] Det Radikale Venstre - Danish Social-Liberal Party
926034,"[7] Venstre, Danmarks Liberale Parti - Venstre"
926050,[NA] Not applicable
926092,[1] Socialdemokraterne - the Danish social democrats
926107,[NA] Not applicable
926115,[2] Det Radikale Venstre - Danish Social-Liberal Party
926131,[5] Dansk Folkeparti - Danish peoples party
926149,[2] Det Radikale Venstre - Danish Social-Liberal Party
926181,"[7] Venstre, Danmarks Liberale Parti - Venstre"
926199,"[7] Venstre, Danmarks Liberale Parti - Venstre"
926238,"[7] Venstre, Danmarks Liberale Parti - Venstre"
926246,[1] Socialdemokraterne - the Danish social democrats
926288,[1] Socialdemokraterne - the Danish social democrats
926319,[1] Socialdemokraterne - the Danish social democrats
926343,"[7] Venstre, Danmarks Liberale Parti - Venstre"
926351,"[7] Venstre, Danmarks Liberale Parti - Venstre"
926377,[5] Dansk Folkeparti - Danish peoples party
926385,[1] Socialdemokraterne - the Danish social democrats
926408,[1] Socialdemokraterne - the Danish social democrats
926458,[5] Dansk Folkeparti - Danish peoples party
926513,[1] Socialdemokraterne - the Danish social democrats
926539,[NA] Not applicable
926555,[NA] Not applicable
926563,[NA] Not applicable
926589,[4] SF Socialistisk Folkeparti - Socialist People's Party
926597,"[7] Venstre, Danmarks Liberale Parti - Venstre"
926652,[NA] Not applicable
926660,"[7] Venstre, Danmarks Liberale Parti - Venstre"
926678,"[7] Venstre, Danmarks Liberale Parti - Venstre"
926694,[1] Socialdemokraterne - the Danish social democrats
926709,[1] Socialdemokraterne - the Danish social democrats
926725,"[7] Venstre, Danmarks Liberale Parti - Venstre"
926733,[NA] Not applicable
926759,[5] Dansk Folkeparti - Danish peoples party
926767,"[7] Venstre, Danmarks Liberale Parti - Venstre"
926775,"[7] Venstre, Danmarks Liberale Parti - Venstre"
926806,[NA] No answer
926814,"[7] Venstre, Danmarks Liberale Parti - Venstre"
926822,"[7] Venstre, Danmarks Liberale Parti - Venstre"
926848,[NA] Not applicable
926872,[5] Dansk Folkeparti - Danish peoples party
926880,[1] Socialdemokraterne - the Danish social democrats
926898,[1] Socialdemokraterne - the Danish social democrats
926903,[9] Enhedslisten - Unity List - The Red-Green Alliance
926911,[4] SF Socialistisk Folkeparti - Socialist People's Party
926929,[9] Enhedslisten - Unity List - The Red-Green Alliance
926937,[5] Dansk Folkeparti - Danish peoples party
926945,"[7] Venstre, Danmarks Liberale Parti - Venstre"
926953,"[7] Venstre, Danmarks Liberale Parti - Venstre"
926961,[NA] Not applicable
926979,[NA] No answer
926987,[NA] Refusal
926995,[9] Enhedslisten - Unity List - The Red-Green Alliance
927006,[1] Socialdemokraterne - the Danish social democrats
927048,[3] Det Konservative Folkeparti - Conservative
927072,"[7] Venstre, Danmarks Liberale Parti - Venstre"
927098,[4] SF Socialistisk Folkeparti - Socialist People's Party
927111,[1] Socialdemokraterne - the Danish social democrats
927137,[9] Enhedslisten - Unity List - The Red-Green Alliance
927179,[NA] Don't know
927187,"[7] Venstre, Danmarks Liberale Parti - Venstre"
927226,"[7] Venstre, Danmarks Liberale Parti - Venstre"
927250,"[7] Venstre, Danmarks Liberale Parti - Venstre"
927276,"[7] Venstre, Danmarks Liberale Parti - Venstre"
927284,[5] Dansk Folkeparti - Danish peoples party
927307,[NA] Not applicable
927323,"[7] Venstre, Danmarks Liberale Parti - Venstre"
927331,"[7] Venstre, Danmarks Liberale Parti - Venstre"
927349,[1] Socialdemokraterne - the Danish social democrats
927373,[NA] Not applicable
927381,[5] Dansk Folkeparti - Danish peoples party
927399,[NA] Not applicable
927462,[2] Det Radikale Venstre - Danish Social-Liberal Party
927488,[1] Socialdemokraterne - the Danish social democrats
927585,[2] Det Radikale Venstre - Danish Social-Liberal Party
927593,[1] Socialdemokraterne - the Danish social democrats
927608,[5] Dansk Folkeparti - Danish peoples party
927616,[1] Socialdemokraterne - the Danish social democrats
927624,[2] Det Radikale Venstre - Danish Social-Liberal Party
927632,[NA] Not applicable
927640,[4] SF Socialistisk Folkeparti - Socialist People's Party
927739,[8] Liberal Alliance - Liberal Alliance
927763,[5] Dansk Folkeparti - Danish peoples party
927771,[9] Enhedslisten - Unity List - The Red-Green Alliance
927828,[3] Det Konservative Folkeparti - Conservative
927836,[1] Socialdemokraterne - the Danish social democrats
927860,[3] Det Konservative Folkeparti - Conservative
927894,[NA] Not applicable
927933,[NA] Not applicable
927959,[1] Socialdemokraterne - the Danish social democrats
927967,"[7] Venstre, Danmarks Liberale Parti - Venstre"
927983,[3] Det Konservative Folkeparti - Conservative
928002,[3] Det Konservative Folkeparti - Conservative
928028,[2] Det Radikale Venstre - Danish Social-Liberal Party
928044,[NA] Not applicable
928060,[1] Socialdemokraterne - the Danish social democrats
928086,[8] Liberal Alliance - Liberal Alliance
928094,[NA] Not applicable
928109,"[7] Venstre, Danmarks Liberale Parti - Venstre"
928125,"[7] Venstre, Danmarks Liberale Parti - Venstre"
928133,[5] Dansk Folkeparti - Danish peoples party
928167,"[7] Venstre, Danmarks Liberale Parti - Venstre"
928175,[1] Socialdemokraterne - the Danish social democrats
928248,[NA] Don't know
928256,"[7] Venstre, Danmarks Liberale Parti - Venstre"
928280,"[7] Venstre, Danmarks Liberale Parti - Venstre"
928298,[NA] Refusal
928303,[1] Socialdemokraterne - the Danish social democrats
928311,[3] Det Konservative Folkeparti - Conservative
928345,[8] Liberal Alliance - Liberal Alliance
928361,[1] Socialdemokraterne - the Danish social democrats
928379,[NA] Not applicable
928400,[8] Liberal Alliance - Liberal Alliance
928418,[NA] Not applicable
928434,[4] SF Socialistisk Folkeparti - Socialist People's Party
928476,"[7] Venstre, Danmarks Liberale Parti - Venstre"
928492,[NA] Not applicable
928515,"[7] Venstre, Danmarks Liberale Parti - Venstre"
928565,[NA] Not applicable
928573,[1] Socialdemokraterne - the Danish social democrats
928604,[1] Socialdemokraterne - the Danish social democrats
928646,[3] Det Konservative Folkeparti - Conservative
928662,[1] Socialdemokraterne - the Danish social democrats
928670,[8] Liberal Alliance - Liberal Alliance
928701,[5] Dansk Folkeparti - Danish peoples party
928727,[NA] Not applicable
928735,[2] Det Radikale Venstre - Danish Social-Liberal Party
928769,[NA] Not applicable
928777,[1] Socialdemokraterne - the Danish social democrats
928785,"[7] Venstre, Danmarks Liberale Parti - Venstre"
928808,[1] Socialdemokraterne - the Danish social democrats
